CODIGO,MATERIA,REPETICION
101219021129,Sistemas Estructurales,2
101221020965,Sistemas Estructurales,1
101222011229,Sistemas Estructurales,1
101221020967,Sistemas Estructurales,1
101221011163,Sistemas Industrializados en la Construcción,2
101221020955,Sistemas Industrializados en la Construcción,1
101223011087,Taller de Proyectos I,1
101223011088,Taller de Proyectos I,1
101222021072,Taller de Proyectos I,2
101221020991,Taller de Proyectos I,1
101221020957,Taller de Proyectos I,3
101222021089,Taller de Proyectos I,2
101223011110,Taller de Proyectos I,1
101223011091,Taller de Proyectos I,1
101222011221,Taller de Proyectos I,2
101223011115,Taller de Proyectos I,1
101221011193,Taller de Proyectos I,3
101222021071,Taller de Proyectos I,2
101222021078,Taller de Proyectos I,2
101222021077,Taller de Proyectos I,1
101223011089,Taller de Proyectos I,1
101223011103,Taller de Proyectos I,1
101222021059,Taller de Proyectos II,1
101222021068,Taller de Proyectos II,1
101222021056,Taller de Proyectos II,1
101222011216,Taller de Proyectos II,2
101221020967,Taller de Proyectos II,2
101220011567,Taller de Proyectos III,2
101222011228,Taller de Proyectos III,1
101221020971,Taller de Proyectos III,1
101220011578,Taller de Proyectos III,2
101221020965,Taller de Proyectos III,1
101221011185,Taller de Proyectos III,2
101221020973,Taller de Proyectos IV,1
101221011163,Taller de Proyectos IV,2
101219021111,Taller de Proyectos IV,1
101221020986,Taller de Proyectos IV,1
101219021140,Taller de Proyectos IV,2
101221011194,Taller de Proyectos IV,1
101220011556,Taller de Proyectos IV,1
101220011546,Taller de Proyectos IV,1
101220011550,Taller de Proyectos IV,1
101219010098,Taller de Proyectos IV,1
101221020976,Taller de Proyectos IV,1
101218021091,Taller de Proyectos V,1
101219021106,Taller de Proyectos V,1
101218010070,Taller de Proyectos VI,1
101218021078,Taller de Proyectos VIII,1
101218021073,Taller de Proyectos VIII,1
101217020859,Taller Final,2
101217020987,Taller Final,1
101218011570,Taller Final,1
101221011163,Técnicas de Representación,1
101220011567,Técnicas de Representación,1
101221020957,Técnicas de Representación,3
101222011236,Técnicas de Representación,1
101222011222,Técnicas de Representación,1
101222011216,Técnicas de Representación,1
101221020967,Técnicas de Representación,2
101219010098,Técnicas de Representación,1
101220011561,Teoría e Historia de la Arquitectura Antigua,2
101219010090,Teoría e Historia de la Arquitectura Latinoamericana y de Colombia,2
101222011222,Teoría e Historia de la Arquitectura Latinoamericana y de Colombia,1
101219021129,Teoria e Historia de la Arquitectura Medieval,1
101221020965,Teoria e Historia de la Arquitectura Medieval,1
101221020971,Teoría e Historia de la Arquitectura Moderna y Contemporanea,1
101220011567,Teorías Urbanas,2
101221011193,Teorías Urbanas,2
101222011222,Teorías Urbanas,1
101222011216,Teorías Urbanas,1
100921020014,Apreciación del Arte 1,1
100920010337,Dibujo 1,1
100923010050,Dibujo 1,1
100922020002,Dibujo 2,1
100922010010,Dibujo 2,1
100922020017,Dibujo 2,1
100920010336,Dibujo 3,1
100921020021,Dibujo 3,1
100917021399,Dibujo 4,1
100918010925,Dibujo 4,1
100921020003,Escultura 2,2
100919020135,Escultura 3,1
100917021399,Escultura 3,2
100919020129,Escultura 3,1
100917021399,Estética,2
100921020010,Estética,1
100917021407,Estética,3
100922020013,Fotografía (L),1
100922010010,Fotografía (L),1
100922020016,Fotografía (L),1
09062003,Gestión Cultural,1
100922020009,Historia del Arte 1,1
100919020119,Historia del Arte 1,1
100921020021,Historia del Arte 2,1
100917020375,Historia del Arte 2,3
100917021169,Historia del Arte 2,1
100921020002,Historia del Arte 2,1
100921020022,Historia del Arte 2,1
100916021048,Historia del Arte 3,2
100919010140,Historia del Arte 3,1
100918020024,Historia del Arte 4,1
100920010337,Lectura y Escritura,1
100918010162,Medios Digitales,1
100922020017,Medios Digitales,1
100914021212,Metodología de la Investigación 1,2
100917011885,Multimedia,1
100917010535,Multimedia,1
100921020003,Pintura 2,2
100922010010,Pintura 2,1
100922010006,Pintura 3,1
100919020134,Seminario Artista Invitado,1
100919020128,Seminario Artista Invitado,1
100921020004,Seminario Artista Invitado,1
100916010786,Seminario de Arte Colombiano,2
100914021212,Seminario de Arte Colombiano,2
100912011349,Seminario de Arte Colombiano,1
100916010627,Seminario de Arte Colombiano,3
100917011193,Seminario de Arte del Siglo XX,1
100917021407,Seminario de Arte del Siglo XX,1
100921010018,Seminario en Teoría del Arte,1
100911023801,Seminario Interdisciplinario,1
100921020025,Semiótica,1
100921020012,Semiótica,1
100916010624,Serigrafía (L),1
100922010006,Serigrafía (L),1
100916011084,Taller Énfasis Integrado 2,1
100915013411,Taller Itinerante,1
100913021332,Taller Itinerante,3
100915020830,Taller Itinerante,1
100913011448,Taller Itinerante,2
100916010627,Taller Itinerante,1
